run_name,_step,eval/sap_mean,eval/draw_rate,eval/csi_sap_proxy,eval/n_episodes,eval/csi_proxy_n_ll,eval/sap_std,eval/win_rate,eval/loss_rate,eval/mecha_mean,_runtime,_timestamp,eval/csi_proxy_n_lw,wandb_run_id,created_at,condition,seed,lam_init,alpha,disc/swap_hinge_ll,disc/swap_hinge_lw,disc/bce_agent,disc/acc,disc/step,disc_update_skipped,loss/kl,gate/late_winning -> late_losing_shift,gate/late_losing -> late_winning_frac,gate/late_losing -> late_winning_shift,loss/clipped_surrogate,episode_steps,disc_health,disc/loss,iteration,r_style_mean,task_reward_sum,disc/gp_value,episode_sap,loss/lam,disc/acc_agent,disc_saturating,disc/bce_expert,disc/ess,loss/kl_term,disc/acc_expert,disc/swap_shift_ll,gate/late_winning -> late_losing_frac,disc/swap_shift_lw
MAPPO-baseline_seed0,0,86.31199999999998,0.34,0.04611851417932311,50.0,4495.0,3.649765654577472,0.56,0.1,0.12666725779505353,1207.001163438,1788798831.7376108,23041.0,t0o3gvod,2026-09-07T16:13:44Z,MAPPO-baseline,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPPO-baseline_seed1,0,86.52866666666668,0.24,0.011698658071885637,50.0,4112.0,3.9167447368105743,0.68,0.08,0.12268107927354438,1225.745165945,1788798850.4608672,30930.0,xp53jsdf,2026-09-07T16:13:44Z,MAPPO-baseline,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPPO-baseline_seed2,0,85.26933333333332,0.18,0.7846789234702589,50.0,13.0,4.4314574477378335,0.82,0.0,0.12463444481734663,1219.206537858,1788798844.8299592,35593.0,t41o2mtv,2026-09-07T16:13:45Z,MAPPO-baseline,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPPO-baseline_seed3,0,85.88533333333335,0.16,0.027063792914134188,50.0,4303.0,4.56223220218641,0.72,0.12,0.12228241880690349,1205.86216447,1788798831.1940248,29686.0,muzfw4tt,2026-09-07T16:13:45Z,MAPPO-baseline,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPPO-baseline_seed4,0,85.45866666666664,0.28,0.04886425590511034,50.0,3742.0,5.080107435434369,0.58,0.14,0.12454166351124853,1227.31747503,1788798852.7379444,25221.0,rzk3l0fl,2026-09-07T16:13:45Z,MAPPO-baseline,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lambda_sweep_0.001_seed0,224,30.808666666666667,0.38,-0.12190613668618341,50.0,9123.0,9.056403038734528,0.42,0.2,0.160617130212659,9393.642851181,1788807019.5507658,18412.0,fa9ub8rm,2026-09-07T16:13:45Z,lambda_sweep_0.001,0,0.001,0.131,0.00015325099229812622,0.0,0.5341269373893738,0.85546875,22.0,0.0,4.580818176269531,0.14472217857837677,1.0,0.1746128648519516,0.00882596056908369,3000.0,healthy,1.1486798524856567,225.0,2.8610228852699038e-08,0.0,0.1184881180524826,34.46666666666667,0.001,0.78125,1.0,0.495145320892334,106.90872476776055,0.004580818582326174,0.9296875,0.17817999422550201,0.9213217938630999,0.1713714450597763
lambda_sweep_0.001_seed1,449,27.269333333333336,0.3,-0.041392013937814415,50.0,12248.0,5.509510323068649,0.46,0.24,0.14109329966852663,17624.810241958,1788815250.7227044,19534.0,s0ygd7xi,2026-09-07T16:13:45Z,lambda_sweep_0.001,1,0.001,0.131,0.0,0.00016281940042972565,0.5828274488449097,0.77734375,45.0,0.0,5.970304012298584,0.14489860832691193,0.999512432959532,0.17701680958271027,0.005704907700419426,3000.0,healthy,1.2327170372009277,450.0,2.312660285497259e-08,4.0,0.12491477280855179,21.3,0.001,0.671875,1.0,0.523997962474823,106.90872476776055,0.005970304366201162,0.8828125,0.18210329115390778,0.9213217938630999,0.17292097210884094
lambda_sweep_0.001_seed2,299,38.15266666666666,0.44,-0.11784731133374626,50.0,9746.0,6.792653188065274,0.36,0.2,0.13929038130427718,12152.008624653,1788809777.8594143,18122.0,i1wiblea,2026-09-07T16:13:45Z,lambda_sweep_0.001,2,0.001,0.131,0.0004762532189488411,0.0002616853453218937,0.49960729479789734,0.87109375,30.0,0.0,4.010570049285889,0.1448863446712494,0.9992686494392979,0.17474567890167236,0.00793361198157072,3000.0,healthy,1.125613808631897,300.0,-8.662541972626059e-08,0.0,0.12318464368581772,46.400000000000006,0.001,0.8203125,1.0,0.4983941912651062,106.90872476776055,0.004010570235550404,0.921875,0.1806482970714569,0.9209284028324154,0.17169193923473358
lambda_sweep_0.01_seed0,524,32.62466666666667,0.14,0.016673663781355208,50.0,4552.0,5.532312395774885,0.74,0.12,0.13000360721168236,21039.999021117,1788818665.7481384,32311.0,l4o68m8d,2026-09-07T16:13:45Z,lambda_sweep_0.01,0,0.01,0.131,0.0004514595493674278,0.0,0.5515652894973755,0.8671875,52.0,0.0,3.184124231338501,0.143901988863945,0.9992686494392979,0.17185336351394653,0.008389170281589031,3000.0,saturating,1.1541656255722046,525.0,2.304712864997782e-08,-4.0,0.1205294206738472,39.0,0.001,0.78125,1.0,0.4793621897697449,106.90872476776055,0.0031841243617236614,0.953125,0.1744394153356552,0.9225019669551534,0.17200732231140137
lambda_sweep_0.01_seed1,524,60.59466666666666,0.34,-0.021627506392812745,50.0,3373.0,6.000871640390622,0.58,0.08,0.13799732908785706,20559.5473095,1788818185.2889657,21856.0,yf31c0as,2026-09-07T16:13:45Z,lambda_sweep_0.01,1,0.01,0.131,0.00025632651522755623,0.0,0.5008119344711304,0.87890625,52.0,0.0,1.6225277185440063,0.14133939146995544,1.0,0.17248760163784027,0.0067369090393185616,3000.0,saturating,1.1252604722976685,525.0,2.169609025770569e-08,0.0,0.12500043213367462,55.86666666666667,0.01,0.8359375,1.0,0.49791011214256287,106.90872476776055,0.01622527651488781,0.921875,0.17523902654647827,0.9158143194335169,0.17034590244293213
lambda_sweep_0.01_seed2,524,43.73,0.26,-0.07446338668285002,50.0,2608.0,5.945258615064613,0.68,0.06,0.12673046690847348,20255.252035322,1788817881.1167607,27709.0,1dd3x508,2026-09-07T16:13:45Z,lambda_sweep_0.01,2,0.01,0.131,0.0002738768234848976,0.0,0.5033047199249268,0.90234375,52.0,0.0,2.475078821182251,0.14150738716125488,1.0,0.17156541347503662,0.006964529864490032,3000.0,healthy,1.101149320602417,525.0,5.8571497874027045e-08,0.0,0.11680496484041214,50.1,0.001,0.8515625,1.0,0.47939634323120117,106.90872476776055,0.0024750789161771536,0.953125,0.1745014786720276,0.9169944925255704,0.17043747007846832
lambda_sweep_0.1_seed0,524,70.89666666666668,0.26,0.11577058156255882,50.0,5439.0,7.325466234688107,0.62,0.12,0.13668254135181418,21181.110972895,1788818806.874335,25228.0,lxlw0bi0,2026-09-07T16:13:45Z,lambda_sweep_0.1,0,0.1,0.131,0.0002681612968444824,0.0,0.4655051529407501,0.953125,52.0,0.0,0.9199397563934326,0.1420387476682663,1.0,0.1701665222644806,0.007872231304645538,3000.0,saturating,1.0464913845062256,525.0,2.272923715906927e-08,8.0,0.12363719195127487,56.10000000000001,0.01,0.921875,1.0,0.4557400643825531,106.90872476776055,0.009199397638440132,0.984375,0.17238962650299072,0.9189614476789929,0.16969949007034302
lambda_sweep_0.1_seed1,524,77.38266666666665,0.34,0.030851624616235918,50.0,3614.0,4.3972175040334065,0.6,0.06,0.13078571276828307,20479.919392486,1788818105.6856008,23557.0,kx1iacpn,2026-09-07T16:13:45Z,lambda_sweep_0.1,1,0.1,0.131,0.00020575569942593575,0.0,0.46443891525268555,0.921875,52.0,0.0,0.7015818953514099,0.1413542777299881,1.0,0.1709534078836441,0.008848273195326328,3000.0,saturating,1.0692654848098755,525.0,3.7829082089047006e-08,4.0,0.1319262981414795,68.36666666666666,0.01,0.9140625,1.0,0.47166576981544495,106.90872476776055,0.007015818729996681,0.9296875,0.1733502447605133,0.9177812745869394,0.16964666545391083
lambda_sweep_0.1_seed2,524,83.31866666666667,0.32,-0.008723830135205946,50.0,7442.0,4.301390782836019,0.56,0.12,0.12452290017915192,20567.832259515,1788818193.5699694,23558.0,se37cpkr,2026-09-07T16:13:45Z,lambda_sweep_0.1,2,0.1,0.131,0.00016567856073379517,0.0,0.454355925321579,0.9666666984558105,52.0,0.0,0.1567746102809906,0.14318647980690002,1.0,0.1717832237482071,0.007466001436114311,3000.0,saturating,1.03510320186615,525.0,1.4543533488620142e-08,4.0,0.12026594579219818,84.63333333333334,0.1,0.949999988079071,1.0,0.4594872295856476,100.55031846506904,0.01567746140062809,0.9833333492279053,0.17455847561359406,0.9248623131392604,0.17143529653549194
lambda_sweep_1.0_seed0,524,86.34599999999999,0.2,0.03832560764581683,50.0,6410.0,4.466581541477404,0.7,0.1,0.11810944564455164,20229.58207983,1788817855.4770622,27874.0,irdwm828,2026-09-07T16:13:45Z,lambda_sweep_1.0,0,1.0,0.131,0.00016979128122329712,0.0,0.43336477875709534,0.9765625,52.0,0.0,0.019927695393562317,0.14196036756038666,1.0,0.17090609669685364,0.004438844043761492,3000.0,saturating,1.0088289976119995,525.0,-9.775161657898934e-08,4.0,0.12686605751514435,81.6,1.0,0.96875,1.0,0.44757941365242004,106.90872476776055,0.019927695393562317,0.984375,0.17322459816932678,0.9228953579858379,0.16989809274673462
lambda_sweep_1.0_seed1,524,85.45400000000001,0.3,-0.017675443994628393,50.0,5692.0,4.081535059808312,0.58,0.12,0.12226339868190611,20663.585356551,1788818289.5547342,23507.0,rtltu3xk,2026-09-07T16:13:45Z,lambda_sweep_1.0,1,1.0,0.131,0.00020028091967105865,0.0,0.42903417348861694,0.9453125,52.0,0.0,0.016660479828715324,0.14254990220069885,1.0,0.171151265501976,0.0050101992674171925,3000.0,saturating,1.0239804983139038,525.0,3.1789144649962964e-09,4.0,0.12797199189662933,80.66666666666666,1.0,0.9609375,1.0,0.46577271819114685,106.90872476776055,0.016660479828715324,0.9296875,0.1729547679424286,0.9225019669551534,0.17003008723258972
lambda_sweep_1.0_seed2,524,85.66866666666667,0.18,0.0023648934097841856,50.0,2679.0,3.935498895382332,0.74,0.08,0.1270170455947627,20474.046875396,1788818099.8244684,28729.0,97am7pd2,2026-09-07T16:13:45Z,lambda_sweep_1.0,2,1.0,0.131,0.00011628028005361557,0.0,0.4539971947669983,0.9609375,52.0,0.0,0.01787094585597515,0.1420610398054123,1.0,0.1721494048833847,0.0038236824329942465,3000.0,saturating,1.0246937274932861,525.0,-4.76837147544984e-09,4.0,0.11835679411888123,87.33333333333333,1.0,0.9375,1.0,0.4516419470310211,106.90872476776055,0.01787094585597515,0.984375,0.17456193268299103,0.9221085759244689,0.17024002969264984
